"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.83000000000E+008, +3.78300581190E-001, -1.68032546689E+002
+2.83018750000E+008, +3.78418005194E-001, -1.67968338501E+002
+2.83037500000E+008, +3.78682701607E-001, -1.67923286082E+002
+2.83056250000E+008, +3.78864144842E-001, -1.67852457432E+002
+2.83075000000E+008, +3.78921662033E-001, -1.67776480759E+002
+2.83093750000E+008, +3.79138582065E-001, -1.67723745294E+002
+2.83112500000E+008, +3.79213033632E-001, -1.67622556414E+002
+2.83131250000E+008, +3.79206070945E-001, -1.67561608946E+002
+2.83150000000E+008, +3.79260153840E-001, -1.67481312914E+002
+2.83168750000E+008, +3.79246926025E-001, -1.67382923315E+002
+2.83187500000E+008, +3.79215925958E-001, -1.67276266419E+002
+2.83206250000E+008, +3.79238751987E-001, -1.67186925364E+002
+2.83225000000E+008, +3.79039380843E-001, -1.67085097020E+002
+2.83243750000E+008, +3.79013761511E-001, -1.66968493284E+002
+2.83262500000E+008, +3.79012980282E-001, -1.66843353645E+002
+2.83281250000E+008, +3.78872425533E-001, -1.66711637574E+002
+2.83300000000E+008, +3.78683803224E-001, -1.66597976005E+002
+2.83318750000E+008, +3.78520581761E-001, -1.66448107003E+002
+2.83337500000E+008, +3.78406660255E-001, -1.66329195337E+002
+2.83356250000E+008, +3.78098188793E-001, -1.66178080068E+002
+2.83375000000E+008, +3.77968678272E-001, -1.66012981843E+002
+2.83393750000E+008, +3.77799631800E-001, -1.65868723916E+002
+2.83412500000E+008, +3.77526222808E-001, -1.65707825893E+002
+2.83431250000E+008, +3.77353877240E-001, -1.65529247106E+002
+2.83450000000E+008, +3.77170930315E-001, -1.65365068094E+002
+2.83468750000E+008, +3.76894387222E-001, -1.65199957077E+002
+2.83487500000E+008, +3.76573228865E-001, -1.65006017403E+002
+2.83506250000E+008, +3.76400231483E-001, -1.64819963652E+002
+2.83525000000E+008, +3.76065162878E-001, -1.64622578563E+002
+2.83543750000E+008, +3.75757450636E-001, -1.64418412469E+002
+2.83562500000E+008, +3.75546421007E-001, -1.64199454080E+002
+2.83581250000E+008, +3.75281053389E-001, -1.63992690635E+002
+2.83600000000E+008, +3.75042840015E-001, -1.63783484644E+002
+2.83618750000E+008, +3.74721017334E-001, -1.63562540589E+002
+2.83637500000E+008, +3.74437233978E-001, -1.63316379936E+002
+2.83656250000E+008, +3.74154578387E-001, -1.63083118452E+002
+2.83675000000E+008, +3.73959071012E-001, -1.62868360693E+002
+2.83693750000E+008, +3.73711893690E-001, -1.62605586283E+002
+2.83712500000E+008, +3.73461920572E-001, -1.62350441491E+002
+2.83731250000E+008, +3.73278296370E-001, -1.62100584581E+002
+2.83750000000E+008, +3.73001253379E-001, -1.61826842262E+002
+2.83768750000E+008, +3.72783973773E-001, -1.61578367183E+002
+2.83787500000E+008, +3.72628058198E-001, -1.61293198479E+002
+2.83806250000E+008, +3.72396370592E-001, -1.61017592582E+002
+2.83825000000E+008, +3.72157087141E-001, -1.60742764121E+002
+2.83843750000E+008, +3.71992162446E-001, -1.60457844413E+002
+2.83862500000E+008, +3.71973926232E-001, -1.60154911908E+002
+2.83881250000E+008, +3.71864031831E-001, -1.59854447950E+002
+2.83900000000E+008, +3.71695851084E-001, -1.59559881667E+002
+2.83918750000E+008, +3.71497929714E-001, -1.59248629829E+002
+2.83937500000E+008, +3.71471419234E-001, -1.58939693753E+002
+2.83956250000E+008, +3.71371229578E-001, -1.58633517760E+002
+2.83975000000E+008, +3.71431546685E-001, -1.58310755311E+002
+2.83993750000E+008, +3.71426974397E-001, -1.57986846019E+002
+2.84012500000E+008, +3.71393477610E-001, -1.57660382684E+002
+2.84031250000E+008, +3.71398146798E-001, -1.57337375189E+002
+2.84050000000E+008, +3.71445966724E-001, -1.57006951110E+002
+2.84068750000E+008, +3.71604254037E-001, -1.56664762687E+002
+2.84087500000E+008, +3.71659069912E-001, -1.56322417030E+002
+2.84106250000E+008, +3.71671429615E-001, -1.55987494152E+002
+2.84125000000E+008, +3.71941682643E-001, -1.55644761043E+002
+2.84143750000E+008, +3.72160712244E-001, -1.55296527155E+002
+2.84162500000E+008, +3.72445688778E-001, -1.54938207829E+002
+2.84181250000E+008, +3.72702738708E-001, -1.54601930212E+002
+2.84200000000E+008, +3.73060746511E-001, -1.54225737672E+002
+2.84218750000E+008, +3.73241428451E-001, -1.53868104807E+002
+2.84237500000E+008, +3.73606372330E-001, -1.53526036899E+002
+2.84256250000E+008, +3.73937956825E-001, -1.53166167909E+002
+2.84275000000E+008, +3.74359156500E-001, -1.52788449857E+002
+2.84293750000E+008, +3.74901513120E-001, -1.52413345772E+002
+2.84312500000E+008, +3.75342564562E-001, -1.52056664481E+002
+2.84331250000E+008, +3.75817672677E-001, -1.51692868434E+002
+2.84350000000E+008, +3.76389820773E-001, -1.51332938754E+002
+2.84368750000E+008, +3.76923016746E-001, -1.50961037320E+002
+2.84387500000E+008, +3.77472884796E-001, -1.50599924028E+002
+2.84406250000E+008, +3.78195281092E-001, -1.50238243618E+002
+2.84425000000E+008, +3.78870747322E-001, -1.49864631610E+002
+2.84443750000E+008, +3.79492338030E-001, -1.49505436565E+002
+2.84462500000E+008, +3.80299586677E-001, -1.49130274685E+002
+2.84481250000E+008, +3.81108922299E-001, -1.48757827475E+002
+2.84500000000E+008, +3.81830108656E-001, -1.48394408343E+002
+2.84518750000E+008, +3.82646882520E-001, -1.48041653951E+002
+2.84537500000E+008, +3.83528478707E-001, -1.47679831606E+002
+2.84556250000E+008, +3.84379804232E-001, -1.47318901078E+002
+2.84575000000E+008, +3.85239686044E-001, -1.46959058276E+002
+2.84593750000E+008, +3.86240530681E-001, -1.46594753804E+002
+2.84612500000E+008, +3.87239997035E-001, -1.46241368370E+002
+2.84631250000E+008, +3.88247411400E-001, -1.45891279442E+002
+2.84650000000E+008, +3.89282349416E-001, -1.45536794488E+002
+2.84668750000E+008, +3.90336347880E-001, -1.45194902827E+002
+2.84687500000E+008, +3.91371846957E-001, -1.44841021611E+002
+2.84706250000E+008, +3.92529601869E-001, -1.44510292347E+002
+2.84725000000E+008, +3.93625984663E-001, -1.44165756750E+002
+2.84743750000E+008, +3.94883214569E-001, -1.43826035783E+002
+2.84762500000E+008, +3.96100518872E-001, -1.43486593429E+002
+2.84781250000E+008, +3.97352330610E-001, -1.43150291882E+002
+2.84800000000E+008, +3.98615186301E-001, -1.42817379551E+002
+2.84818750000E+008, +3.99824394163E-001, -1.42497933710E+002
+2.84837500000E+008, +4.01147815339E-001, -1.42184176717E+002
+2.84856250000E+008, +4.02367680259E-001, -1.41861735065E+002
+2.84875000000E+008, +4.03657894196E-001, -1.41550684657E+002
+2.84893750000E+008, +4.05124271435E-001, -1.41228166471E+002
+2.84912500000E+008, +4.06458957202E-001, -1.40918019751E+002
+2.84931250000E+008, +4.07806653215E-001, -1.40615103658E+002
+2.84950000000E+008, +4.09294968672E-001, -1.40301246562E+002
+2.84968750000E+008, +4.10683742331E-001, -1.40010258799E+002
+2.84987500000E+008, +4.12120370679E-001, -1.39723130710E+002
