"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+2.83000000000E+008, -9.01570316836E+000, +0.00000000000E+000
+2.83018750000E+008, -9.01673772378E+000, +0.00000000000E+000
+2.83037500000E+008, -9.02236596472E+000, +0.00000000000E+000
+2.83056250000E+008, -9.02419561386E+000, +0.00000000000E+000
+2.83075000000E+008, -9.02762868388E+000, +0.00000000000E+000
+2.83093750000E+008, -9.03144806855E+000, +0.00000000000E+000
+2.83112500000E+008, -9.03827817446E+000, +0.00000000000E+000
+2.83131250000E+008, -9.04348711985E+000, +0.00000000000E+000
+2.83150000000E+008, -9.04778388997E+000, +0.00000000000E+000
+2.83168750000E+008, -9.05589178324E+000, +0.00000000000E+000
+2.83187500000E+008, -9.06210385672E+000, +0.00000000000E+000
+2.83206250000E+008, -9.07003189788E+000, +0.00000000000E+000
+2.83225000000E+008, -9.07691616134E+000, +0.00000000000E+000
+2.83243750000E+008, -9.08381813885E+000, +0.00000000000E+000
+2.83262500000E+008, -9.09058864207E+000, +0.00000000000E+000
+2.83281250000E+008, -9.10052424153E+000, +0.00000000000E+000
+2.83300000000E+008, -9.10992104875E+000, +0.00000000000E+000
+2.83318750000E+008, -9.11915134795E+000, +0.00000000000E+000
+2.83337500000E+008, -9.12496436982E+000, +0.00000000000E+000
+2.83356250000E+008, -9.13702014138E+000, +0.00000000000E+000
+2.83375000000E+008, -9.14662739823E+000, +0.00000000000E+000
+2.83393750000E+008, -9.15548771407E+000, +0.00000000000E+000
+2.83412500000E+008, -9.16517312815E+000, +0.00000000000E+000
+2.83431250000E+008, -9.17271983136E+000, +0.00000000000E+000
+2.83450000000E+008, -9.18122276553E+000, +0.00000000000E+000
+2.83468750000E+008, -9.19247759678E+000, +0.00000000000E+000
+2.83487500000E+008, -9.19975199728E+000, +0.00000000000E+000
+2.83506250000E+008, -9.20980927599E+000, +0.00000000000E+000
+2.83525000000E+008, -9.21731228927E+000, +0.00000000000E+000
+2.83543750000E+008, -9.22804870464E+000, +0.00000000000E+000
+2.83562500000E+008, -9.23462393981E+000, +0.00000000000E+000
+2.83581250000E+008, -9.24184160917E+000, +0.00000000000E+000
+2.83600000000E+008, -9.24929853881E+000, +0.00000000000E+000
+2.83618750000E+008, -9.26048322376E+000, +0.00000000000E+000
+2.83637500000E+008, -9.26664877195E+000, +0.00000000000E+000
+2.83656250000E+008, -9.27514151763E+000, +0.00000000000E+000
+2.83675000000E+008, -9.27877037223E+000, +0.00000000000E+000
+2.83693750000E+008, -9.28387442829E+000, +0.00000000000E+000
+2.83712500000E+008, -9.28991703990E+000, +0.00000000000E+000
+2.83731250000E+008, -9.29349634094E+000, +0.00000000000E+000
+2.83750000000E+008, -9.29928360992E+000, +0.00000000000E+000
+2.83768750000E+008, -9.30276273618E+000, +0.00000000000E+000
+2.83787500000E+008, -9.30286688892E+000, +0.00000000000E+000
+2.83806250000E+008, -9.30599748161E+000, +0.00000000000E+000
+2.83825000000E+008, -9.30936067202E+000, +0.00000000000E+000
+2.83843750000E+008, -9.30988125273E+000, +0.00000000000E+000
+2.83862500000E+008, -9.30869094641E+000, +0.00000000000E+000
+2.83881250000E+008, -9.30888042378E+000, +0.00000000000E+000
+2.83900000000E+008, -9.30608848466E+000, +0.00000000000E+000
+2.83918750000E+008, -9.30458972603E+000, +0.00000000000E+000
+2.83937500000E+008, -9.30221899378E+000, +0.00000000000E+000
+2.83956250000E+008, -9.29848332825E+000, +0.00000000000E+000
+2.83975000000E+008, -9.29264876076E+000, +0.00000000000E+000
+2.83993750000E+008, -9.28671342248E+000, +0.00000000000E+000
+2.84012500000E+008, -9.28007064752E+000, +0.00000000000E+000
+2.84031250000E+008, -9.27325894358E+000, +0.00000000000E+000
+2.84050000000E+008, -9.26425017560E+000, +0.00000000000E+000
+2.84068750000E+008, -9.25753949382E+000, +0.00000000000E+000
+2.84087500000E+008, -9.24662781865E+000, +0.00000000000E+000
+2.84106250000E+008, -9.23551262035E+000, +0.00000000000E+000
+2.84125000000E+008, -9.22226780239E+000, +0.00000000000E+000
+2.84143750000E+008, -9.20915094838E+000, +0.00000000000E+000
+2.84162500000E+008, -9.19640053185E+000, +0.00000000000E+000
+2.84181250000E+008, -9.18035637118E+000, +0.00000000000E+000
+2.84200000000E+008, -9.16817816851E+000, +0.00000000000E+000
+2.84218750000E+008, -9.15226623271E+000, +0.00000000000E+000
+2.84237500000E+008, -9.13290515537E+000, +0.00000000000E+000
+2.84256250000E+008, -9.11415948805E+000, +0.00000000000E+000
+2.84275000000E+008, -9.09620188223E+000, +0.00000000000E+000
+2.84293750000E+008, -9.07630876905E+000, +0.00000000000E+000
+2.84312500000E+008, -9.05690559537E+000, +0.00000000000E+000
+2.84331250000E+008, -9.03533677486E+000, +0.00000000000E+000
+2.84350000000E+008, -9.01135200465E+000, +0.00000000000E+000
+2.84368750000E+008, -8.98990725995E+000, +0.00000000000E+000
+2.84387500000E+008, -8.96704300701E+000, +0.00000000000E+000
+2.84406250000E+008, -8.94250774434E+000, +0.00000000000E+000
+2.84425000000E+008, -8.91591742544E+000, +0.00000000000E+000
+2.84443750000E+008, -8.89048657850E+000, +0.00000000000E+000
+2.84462500000E+008, -8.86394748039E+000, +0.00000000000E+000
+2.84481250000E+008, -8.83425946972E+000, +0.00000000000E+000
+2.84500000000E+008, -8.80822379548E+000, +0.00000000000E+000
+2.84518750000E+008, -8.78103052729E+000, +0.00000000000E+000
+2.84537500000E+008, -8.74975029017E+000, +0.00000000000E+000
+2.84556250000E+008, -8.72214882556E+000, +0.00000000000E+000
+2.84575000000E+008, -8.69221046397E+000, +0.00000000000E+000
+2.84593750000E+008, -8.66070946805E+000, +0.00000000000E+000
+2.84612500000E+008, -8.62894928038E+000, +0.00000000000E+000
+2.84631250000E+008, -8.59574874463E+000, +0.00000000000E+000
+2.84650000000E+008, -8.56242003470E+000, +0.00000000000E+000
+2.84668750000E+008, -8.53051205845E+000, +0.00000000000E+000
+2.84687500000E+008, -8.49667021414E+000, +0.00000000000E+000
+2.84706250000E+008, -8.46399229584E+000, +0.00000000000E+000
+2.84725000000E+008, -8.43219636200E+000, +0.00000000000E+000
+2.84743750000E+008, -8.39668772412E+000, +0.00000000000E+000
+2.84762500000E+008, -8.36088619528E+000, +0.00000000000E+000
+2.84781250000E+008, -8.32548747336E+000, +0.00000000000E+000
+2.84800000000E+008, -8.29067924362E+000, +0.00000000000E+000
+2.84818750000E+008, -8.25742077885E+000, +0.00000000000E+000
+2.84837500000E+008, -8.21989039298E+000, +0.00000000000E+000
+2.84856250000E+008, -8.18511987513E+000, +0.00000000000E+000
+2.84875000000E+008, -8.14823790254E+000, +0.00000000000E+000
+2.84893750000E+008, -8.11300624310E+000, +0.00000000000E+000
+2.84912500000E+008, -8.07668673269E+000, +0.00000000000E+000
+2.84931250000E+008, -8.04135474174E+000, +0.00000000000E+000
+2.84950000000E+008, -8.00586630766E+000, +0.00000000000E+000
