"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+2.83000000000E+008, -1.19458176284E+001, +0.00000000000E+000
+2.83018750000E+008, -1.19999460542E+001, +0.00000000000E+000
+2.83037500000E+008, -1.20573389284E+001, +0.00000000000E+000
+2.83056250000E+008, -1.21155411525E+001, +0.00000000000E+000
+2.83075000000E+008, -1.21710196966E+001, +0.00000000000E+000
+2.83093750000E+008, -1.22310838575E+001, +0.00000000000E+000
+2.83112500000E+008, -1.22898626141E+001, +0.00000000000E+000
+2.83131250000E+008, -1.23499381535E+001, +0.00000000000E+000
+2.83150000000E+008, -1.24103732600E+001, +0.00000000000E+000
+2.83168750000E+008, -1.24740357235E+001, +0.00000000000E+000
+2.83187500000E+008, -1.25351819483E+001, +0.00000000000E+000
+2.83206250000E+008, -1.26006963607E+001, +0.00000000000E+000
+2.83225000000E+008, -1.26635004533E+001, +0.00000000000E+000
+2.83243750000E+008, -1.27303239546E+001, +0.00000000000E+000
+2.83262500000E+008, -1.27986025674E+001, +0.00000000000E+000
+2.83281250000E+008, -1.28615919847E+001, +0.00000000000E+000
+2.83300000000E+008, -1.29298195241E+001, +0.00000000000E+000
+2.83318750000E+008, -1.30000685104E+001, +0.00000000000E+000
+2.83337500000E+008, -1.30653845018E+001, +0.00000000000E+000
+2.83356250000E+008, -1.31382997378E+001, +0.00000000000E+000
+2.83375000000E+008, -1.32069368446E+001, +0.00000000000E+000
+2.83393750000E+008, -1.32792984367E+001, +0.00000000000E+000
+2.83412500000E+008, -1.33476122825E+001, +0.00000000000E+000
+2.83431250000E+008, -1.34199301074E+001, +0.00000000000E+000
+2.83450000000E+008, -1.34937291990E+001, +0.00000000000E+000
+2.83468750000E+008, -1.35654987073E+001, +0.00000000000E+000
+2.83487500000E+008, -1.36355230409E+001, +0.00000000000E+000
+2.83506250000E+008, -1.37107152384E+001, +0.00000000000E+000
+2.83525000000E+008, -1.37807212354E+001, +0.00000000000E+000
+2.83543750000E+008, -1.38534674250E+001, +0.00000000000E+000
+2.83562500000E+008, -1.39290314688E+001, +0.00000000000E+000
+2.83581250000E+008, -1.40022398941E+001, +0.00000000000E+000
+2.83600000000E+008, -1.40719546678E+001, +0.00000000000E+000
+2.83618750000E+008, -1.41438258842E+001, +0.00000000000E+000
+2.83637500000E+008, -1.42150359084E+001, +0.00000000000E+000
+2.83656250000E+008, -1.42883074022E+001, +0.00000000000E+000
+2.83675000000E+008, -1.43599484111E+001, +0.00000000000E+000
+2.83693750000E+008, -1.44325152215E+001, +0.00000000000E+000
+2.83712500000E+008, -1.44995957975E+001, +0.00000000000E+000
+2.83731250000E+008, -1.45673295601E+001, +0.00000000000E+000
+2.83750000000E+008, -1.46375073785E+001, +0.00000000000E+000
+2.83768750000E+008, -1.47081654350E+001, +0.00000000000E+000
+2.83787500000E+008, -1.47731786558E+001, +0.00000000000E+000
+2.83806250000E+008, -1.48403690427E+001, +0.00000000000E+000
+2.83825000000E+008, -1.48979981545E+001, +0.00000000000E+000
+2.83843750000E+008, -1.49653539897E+001, +0.00000000000E+000
+2.83862500000E+008, -1.50247716967E+001, +0.00000000000E+000
+2.83881250000E+008, -1.50831875598E+001, +0.00000000000E+000
+2.83900000000E+008, -1.51428050702E+001, +0.00000000000E+000
+2.83918750000E+008, -1.51986529778E+001, +0.00000000000E+000
+2.83937500000E+008, -1.52562551487E+001, +0.00000000000E+000
+2.83956250000E+008, -1.53075226768E+001, +0.00000000000E+000
+2.83975000000E+008, -1.53566984416E+001, +0.00000000000E+000
+2.83993750000E+008, -1.54004350903E+001, +0.00000000000E+000
+2.84012500000E+008, -1.54533721422E+001, +0.00000000000E+000
+2.84031250000E+008, -1.54933202575E+001, +0.00000000000E+000
+2.84050000000E+008, -1.55295582576E+001, +0.00000000000E+000
+2.84068750000E+008, -1.55664833575E+001, +0.00000000000E+000
+2.84087500000E+008, -1.56035191256E+001, +0.00000000000E+000
+2.84106250000E+008, -1.56321368459E+001, +0.00000000000E+000
