"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.83000000000E+008, +2.52804780043E-001, +6.53273910488E+001
+2.83018750000E+008, +2.51211982375E-001, +6.46520193011E+001
+2.83037500000E+008, +2.49602342053E-001, +6.39599124393E+001
+2.83056250000E+008, +2.47942767178E-001, +6.32684202378E+001
+2.83075000000E+008, +2.46404887099E-001, +6.25733714614E+001
+2.83093750000E+008, +2.44624252549E-001, +6.18727694486E+001
+2.83112500000E+008, +2.42966607309E-001, +6.11362435908E+001
+2.83131250000E+008, +2.41288513896E-001, +6.03892597976E+001
+2.83150000000E+008, +2.39567378020E-001, +5.96283839825E+001
+2.83168750000E+008, +2.37853196943E-001, +5.88788087332E+001
+2.83187500000E+008, +2.36294920369E-001, +5.80865592018E+001
+2.83206250000E+008, +2.34494955309E-001, +5.72880001961E+001
+2.83225000000E+008, +2.32720425647E-001, +5.64951446259E+001
+2.83243750000E+008, +2.30991896682E-001, +5.56853880108E+001
+2.83262500000E+008, +2.29251050692E-001, +5.48561454835E+001
+2.83281250000E+008, +2.27459613256E-001, +5.40128154294E+001
+2.83300000000E+008, +2.25764016837E-001, +5.31471125263E+001
+2.83318750000E+008, +2.23982437337E-001, +5.22981636507E+001
+2.83337500000E+008, +2.22221218005E-001, +5.14109353043E+001
+2.83356250000E+008, +2.20442350222E-001, +5.05070166368E+001
+2.83375000000E+008, +2.18656025587E-001, +4.95944201682E+001
+2.83393750000E+008, +2.16890861595E-001, +4.86636141233E+001
+2.83412500000E+008, +2.15233571154E-001, +4.77217341981E+001
+2.83431250000E+008, +2.13444886845E-001, +4.67672620298E+001
+2.83450000000E+008, +2.11600017150E-001, +4.57581108083E+001
+2.83468750000E+008, +2.09909402420E-001, +4.48004316365E+001
+2.83487500000E+008, +2.08171557929E-001, +4.37695456265E+001
+2.83506250000E+008, +2.06376778058E-001, +4.27554841981E+001
+2.83525000000E+008, +2.04681802488E-001, +4.17108400053E+001
+2.83543750000E+008, +2.03013656873E-001, +4.06426008946E+001
+2.83562500000E+008, +2.01365569420E-001, +3.95646714559E+001
+2.83581250000E+008, +1.99597917290E-001, +3.84742555081E+001
+2.83600000000E+008, +1.98003027653E-001, +3.73686833108E+001
+2.83618750000E+008, +1.96312808934E-001, +3.62481116375E+001
+2.83637500000E+008, +1.94653584810E-001, +3.51064157208E+001
+2.83656250000E+008, +1.93067530390E-001, +3.39234247673E+001
+2.83675000000E+008, +1.91466636152E-001, +3.27576587268E+001
+2.83693750000E+008, +1.89929894429E-001, +3.15431684218E+001
+2.83712500000E+008, +1.88505158913E-001, +3.03400247170E+001
+2.83731250000E+008, +1.86966190616E-001, +2.91000074259E+001
+2.83750000000E+008, +1.85509191372E-001, +2.78545450768E+001
+2.83768750000E+008, +1.83980293947E-001, +2.65612670675E+001
+2.83787500000E+008, +1.82609391779E-001, +2.52720001749E+001
+2.83806250000E+008, +1.81248501799E-001, +2.39690204022E+001
+2.83825000000E+008, +1.79934654535E-001, +2.26374571394E+001
+2.83843750000E+008, +1.78712595025E-001, +2.12884960680E+001
+2.83862500000E+008, +1.77378820534E-001, +1.99196775760E+001
+2.83881250000E+008, +1.76110625366E-001, +1.85242089920E+001
+2.83900000000E+008, +1.74974604081E-001, +1.71318911670E+001
+2.83918750000E+008, +1.73882735637E-001, +1.57289309906E+001
+2.83937500000E+008, +1.72772892382E-001, +1.42793609314E+001
+2.83956250000E+008, +1.71742189926E-001, +1.28647064970E+001
+2.83975000000E+008, +1.70797626039E-001, +1.13793931073E+001
+2.83993750000E+008, +1.69756164491E-001, +9.87497078676E+000
+2.84012500000E+008, +1.68879505635E-001, +8.37689369943E+000
+2.84031250000E+008, +1.68105891385E-001, +6.89560238898E+000
+2.84050000000E+008, +1.67396103846E-001, +5.34798409542E+000
+2.84068750000E+008, +1.66610611063E-001, +3.83059458667E+000
+2.84087500000E+008, +1.65958283772E-001, +2.25844599055E+000
+2.84106250000E+008, +1.65347157870E-001, +7.20737412001E-001
